document_id,document_type,title,content,category,tags,metadata
R001,restaurant_profile,Restaurant Profile,"Spice Garden Family Restaurant in Bengaluru serves Indian, Chinese and Continental cuisine. Open daily 11:00 AM to 10:30 PM. Happy Hours from 3:00 PM to 5:00 PM with selected discounts. Reservations recommended for groups of 4 or more.",profile,"restaurant,profile","{""city"": ""Bengaluru""}"
M002,menu_item,Paneer Tikka Premium,Paneer Tikka Premium is a veg starter costing ₹240. Serves 1. Popular among families.,Starter,"veg,starter","{""price"": 240, ""serves"": 1, ""diet"": ""Veg""}"
M003,menu_item,Chicken Biryani Special,Chicken Biryani Special is a non-veg main course costing ₹140. Serves 2. Popular among families.,Main Course,"non-veg,main course","{""price"": 140, ""serves"": 2, ""diet"": ""Non-Veg""}"
M004,menu_item,Paneer Tikka Classic,Paneer Tikka Classic is a veg starter costing ₹220. Serves 1. Popular among families.,Starter,"veg,starter","{""price"": 220, ""serves"": 1, ""diet"": ""Veg""}"
M005,menu_item,Stuffed Mushrooms Chef's,Stuffed Mushrooms Chef's is a veg starter costing ₹430. Serves 2. Popular among families.,Starter,"veg,starter","{""price"": 430, ""serves"": 2, ""diet"": ""Veg""}"
M006,menu_item,Noodles Special,Noodles Special is a veg main course costing ₹260. Serves 1. Popular among families.,Main Course,"veg,main course","{""price"": 260, ""serves"": 1, ""diet"": ""Veg""}"
M007,menu_item,Chicken Fried Rice Premium,Chicken Fried Rice Premium is a non-veg main course costing ₹260. Serves 1. Popular among families.,Main Course,"non-veg,main course","{""price"": 260, ""serves"": 1, ""diet"": ""Non-Veg""}"
M008,menu_item,Veg Fried Rice Classic,Veg Fried Rice Classic is a veg main course costing ₹140. Serves 2. Popular among families.,Main Course,"veg,main course","{""price"": 140, ""serves"": 2, ""diet"": ""Veg""}"
M009,menu_item,Fish Fingers Premium,Fish Fingers Premium is a non-veg starter costing ₹250. Serves 1. Popular among families.,Starter,"non-veg,starter","{""price"": 250, ""serves"": 1, ""diet"": ""Non-Veg""}"
M010,menu_item,Mango Shake Classic,Mango Shake Classic is a veg beverage costing ₹330. Serves 1. Popular among families.,Beverage,"veg,beverage","{""price"": 330, ""serves"": 1, ""diet"": ""Veg""}"
M011,menu_item,Rasmalai Premium,Rasmalai Premium is a veg dessert costing ₹450. Serves 1. Popular among families.,Dessert,"veg,dessert","{""price"": 450, ""serves"": 1, ""diet"": ""Veg""}"
M012,menu_item,Paneer Tikka Chef's,Paneer Tikka Chef's is a veg starter costing ₹270. Serves 1. Popular among families.,Starter,"veg,starter","{""price"": 270, ""serves"": 1, ""diet"": ""Veg""}"
M013,menu_item,Chicken Biryani Spicy,Chicken Biryani Spicy is a non-veg main course costing ₹260. Serves 2. Popular among families.,Main Course,"non-veg,main course","{""price"": 260, ""serves"": 2, ""diet"": ""Non-Veg""}"
M014,menu_item,Brownie Premium,Brownie Premium is a veg dessert costing ₹310. Serves 1. Popular among families.,Dessert,"veg,dessert","{""price"": 310, ""serves"": 1, ""diet"": ""Veg""}"
M015,menu_item,Gulab Jamun Special,Gulab Jamun Special is a veg dessert costing ₹190. Serves 1. Popular among families.,Dessert,"veg,dessert","{""price"": 190, ""serves"": 1, ""diet"": ""Veg""}"
M016,menu_item,Noodles Spicy,Noodles Spicy is a veg main course costing ₹260. Serves 1. Popular among families.,Main Course,"veg,main course","{""price"": 260, ""serves"": 1, ""diet"": ""Veg""}"
M017,menu_item,Gulab Jamun Chef's,Gulab Jamun Chef's is a veg dessert costing ₹110. Serves 2. Popular among families.,Dessert,"veg,dessert","{""price"": 110, ""serves"": 2, ""diet"": ""Veg""}"
M018,menu_item,Masala Tea Classic,Masala Tea Classic is a veg beverage costing ₹220. Serves 2. Popular among families.,Beverage,"veg,beverage","{""price"": 220, ""serves"": 2, ""diet"": ""Veg""}"
M019,menu_item,Noodles Spicy,Noodles Spicy is a veg main course costing ₹380. Serves 1. Popular among families.,Main Course,"veg,main course","{""price"": 380, ""serves"": 1, ""diet"": ""Veg""}"
M020,menu_item,Brownie Chef's,Brownie Chef's is a veg dessert costing ₹440. Serves 2. Popular among families.,Dessert,"veg,dessert","{""price"": 440, ""serves"": 2, ""diet"": ""Veg""}"
M021,menu_item,Mango Shake Spicy,Mango Shake Spicy is a veg beverage costing ₹320. Serves 1. Popular among families.,Beverage,"veg,beverage","{""price"": 320, ""serves"": 1, ""diet"": ""Veg""}"
M022,menu_item,Kadai Paneer Spicy,Kadai Paneer Spicy is a veg main course costing ₹140. Serves 1. Popular among families.,Main Course,"veg,main course","{""price"": 140, ""serves"": 1, ""diet"": ""Veg""}"
M023,menu_item,French Fries Chef's,French Fries Chef's is a veg starter costing ₹360. Serves 1. Popular among families.,Starter,"veg,starter","{""price"": 360, ""serves"": 1, ""diet"": ""Veg""}"
M024,menu_item,Fresh Lime Soda Special,Fresh Lime Soda Special is a veg beverage costing ₹380. Serves 2. Popular among families.,Beverage,"veg,beverage","{""price"": 380, ""serves"": 2, ""diet"": ""Veg""}"
M025,menu_item,Chicken Wings Special,Chicken Wings Special is a non-veg starter costing ₹260. Serves 2. Popular among families.,Starter,"non-veg,starter","{""price"": 260, ""serves"": 2, ""diet"": ""Non-Veg""}"
M026,menu_item,Crispy Corn Spicy,Crispy Corn Spicy is a veg starter costing ₹190. Serves 2. Popular among families.,Starter,"veg,starter","{""price"": 190, ""serves"": 2, ""diet"": ""Veg""}"
M027,menu_item,Crispy Corn Special,Crispy Corn Special is a veg starter costing ₹200. Serves 1. Popular among families.,Starter,"veg,starter","{""price"": 200, ""serves"": 1, ""diet"": ""Veg""}"
M028,menu_item,Rasmalai Special,Rasmalai Special is a veg dessert costing ₹210. Serves 1. Popular among families.,Dessert,"veg,dessert","{""price"": 210, ""serves"": 1, ""diet"": ""Veg""}"
M029,menu_item,Brownie Special,Brownie Special is a veg dessert costing ₹420. Serves 1. Popular among families.,Dessert,"veg,dessert","{""price"": 420, ""serves"": 1, ""diet"": ""Veg""}"
M030,menu_item,Cheesecake Classic,Cheesecake Classic is a veg dessert costing ₹160. Serves 2. Popular among families.,Dessert,"veg,dessert","{""price"": 160, ""serves"": 2, ""diet"": ""Veg""}"
M031,menu_item,Brownie Classic,Brownie Classic is a veg dessert costing ₹240. Serves 1. Popular among families.,Dessert,"veg,dessert","{""price"": 240, ""serves"": 1, ""diet"": ""Veg""}"
M032,menu_item,Chicken 65 Classic,Chicken 65 Classic is a non-veg starter costing ₹430. Serves 1. Popular among families.,Starter,"non-veg,starter","{""price"": 430, ""serves"": 1, ""diet"": ""Non-Veg""}"
M033,menu_item,Noodles Special,Noodles Special is a veg main course costing ₹190. Serves 2. Popular among families.,Main Course,"veg,main course","{""price"": 190, ""serves"": 2, ""diet"": ""Veg""}"
M034,menu_item,Cold Coffee Special,Cold Coffee Special is a veg beverage costing ₹210. Serves 2. Popular among families.,Beverage,"veg,beverage","{""price"": 210, ""serves"": 2, ""diet"": ""Veg""}"
M035,menu_item,Masala Tea Spicy,Masala Tea Spicy is a veg beverage costing ₹420. Serves 2. Popular among families.,Beverage,"veg,beverage","{""price"": 420, ""serves"": 2, ""diet"": ""Veg""}"
M036,menu_item,Gobi Manchurian Chef's,Gobi Manchurian Chef's is a veg starter costing ₹130. Serves 2. Popular among families.,Starter,"veg,starter","{""price"": 130, ""serves"": 2, ""diet"": ""Veg""}"
M037,menu_item,Chilli Paneer Special,Chilli Paneer Special is a veg starter costing ₹230. Serves 1. Popular among families.,Starter,"veg,starter","{""price"": 230, ""serves"": 1, ""diet"": ""Veg""}"
M038,menu_item,Chicken Wings Classic,Chicken Wings Classic is a non-veg starter costing ₹230. Serves 1. Popular among families.,Starter,"non-veg,starter","{""price"": 230, ""serves"": 1, ""diet"": ""Non-Veg""}"
M039,menu_item,Fish Fingers Classic,Fish Fingers Classic is a non-veg starter costing ₹410. Serves 1. Popular among families.,Starter,"non-veg,starter","{""price"": 410, ""serves"": 1, ""diet"": ""Non-Veg""}"
M040,menu_item,Cheesecake Chef's,Cheesecake Chef's is a veg dessert costing ₹430. Serves 1. Popular among families.,Dessert,"veg,dessert","{""price"": 430, ""serves"": 1, ""diet"": ""Veg""}"
M041,menu_item,Cold Coffee Spicy,Cold Coffee Spicy is a veg beverage costing ₹350. Serves 1. Popular among families.,Beverage,"veg,beverage","{""price"": 350, ""serves"": 1, ""diet"": ""Veg""}"
M042,menu_item,Chicken Wings Spicy,Chicken Wings Spicy is a non-veg starter costing ₹310. Serves 2. Popular among families.,Starter,"non-veg,starter","{""price"": 310, ""serves"": 2, ""diet"": ""Non-Veg""}"
M043,menu_item,Fresh Lime Soda Classic,Fresh Lime Soda Classic is a veg beverage costing ₹150. Serves 1. Popular among families.,Beverage,"veg,beverage","{""price"": 150, ""serves"": 1, ""diet"": ""Veg""}"
M044,menu_item,Masala Tea Classic,Masala Tea Classic is a veg beverage costing ₹240. Serves 1. Popular among families.,Beverage,"veg,beverage","{""price"": 240, ""serves"": 1, ""diet"": ""Veg""}"
M045,menu_item,Kadai Paneer Spicy,Kadai Paneer Spicy is a veg main course costing ₹170. Serves 2. Popular among families.,Main Course,"veg,main course","{""price"": 170, ""serves"": 2, ""diet"": ""Veg""}"
M046,menu_item,Dal Tadka Spicy,Dal Tadka Spicy is a veg main course costing ₹240. Serves 1. Popular among families.,Main Course,"veg,main course","{""price"": 240, ""serves"": 1, ""diet"": ""Veg""}"
M047,menu_item,Mango Shake Classic,Mango Shake Classic is a veg beverage costing ₹120. Serves 1. Popular among families.,Beverage,"veg,beverage","{""price"": 120, ""serves"": 1, ""diet"": ""Veg""}"
M048,menu_item,Gobi Manchurian Chef's,Gobi Manchurian Chef's is a veg starter costing ₹350. Serves 2. Popular among families.,Starter,"veg,starter","{""price"": 350, ""serves"": 2, ""diet"": ""Veg""}"
M049,menu_item,Cold Coffee Spicy,Cold Coffee Spicy is a veg beverage costing ₹120. Serves 1. Popular among families.,Beverage,"veg,beverage","{""price"": 120, ""serves"": 1, ""diet"": ""Veg""}"
M050,menu_item,Lassi Spicy,Lassi Spicy is a veg beverage costing ₹250. Serves 2. Popular among families.,Beverage,"veg,beverage","{""price"": 250, ""serves"": 2, ""diet"": ""Veg""}"
M051,menu_item,Cheesecake Special,Cheesecake Special is a veg dessert costing ₹400. Serves 1. Popular among families.,Dessert,"veg,dessert","{""price"": 400, ""serves"": 1, ""diet"": ""Veg""}"
M052,menu_item,Dal Tadka Chef's,Dal Tadka Chef's is a veg main course costing ₹120. Serves 1. Popular among families.,Main Course,"veg,main course","{""price"": 120, ""serves"": 1, ""diet"": ""Veg""}"
M053,menu_item,Gulab Jamun Classic,Gulab Jamun Classic is a veg dessert costing ₹390. Serves 1. Popular among families.,Dessert,"veg,dessert","{""price"": 390, ""serves"": 1, ""diet"": ""Veg""}"
M054,menu_item,Stuffed Mushrooms Classic,Stuffed Mushrooms Classic is a veg starter costing ₹200. Serves 1. Popular among families.,Starter,"veg,starter","{""price"": 200, ""serves"": 1, ""diet"": ""Veg""}"
M055,menu_item,Gobi Manchurian Spicy,Gobi Manchurian Spicy is a veg starter costing ₹160. Serves 1. Popular among families.,Starter,"veg,starter","{""price"": 160, ""serves"": 1, ""diet"": ""Veg""}"
M056,menu_item,Chilli Paneer Classic,Chilli Paneer Classic is a veg starter costing ₹350. Serves 2. Popular among families.,Starter,"veg,starter","{""price"": 350, ""serves"": 2, ""diet"": ""Veg""}"
M057,menu_item,Brownie Premium,Brownie Premium is a veg dessert costing ₹240. Serves 2. Popular among families.,Dessert,"veg,dessert","{""price"": 240, ""serves"": 2, ""diet"": ""Veg""}"
M058,menu_item,Cold Coffee Premium,Cold Coffee Premium is a veg beverage costing ₹380. Serves 2. Popular among families.,Beverage,"veg,beverage","{""price"": 380, ""serves"": 2, ""diet"": ""Veg""}"
M059,menu_item,Paneer Tikka Spicy,Paneer Tikka Spicy is a veg starter costing ₹450. Serves 1. Popular among families.,Starter,"veg,starter","{""price"": 450, ""serves"": 1, ""diet"": ""Veg""}"
M060,menu_item,Stuffed Mushrooms Chef's,Stuffed Mushrooms Chef's is a veg starter costing ₹410. Serves 2. Popular among families.,Starter,"veg,starter","{""price"": 410, ""serves"": 2, ""diet"": ""Veg""}"
M061,menu_item,Veg Fried Rice Classic,Veg Fried Rice Classic is a veg main course costing ₹240. Serves 2. Popular among families.,Main Course,"veg,main course","{""price"": 240, ""serves"": 2, ""diet"": ""Veg""}"
M062,menu_item,Brownie Spicy,Brownie Spicy is a veg dessert costing ₹430. Serves 2. Popular among families.,Dessert,"veg,dessert","{""price"": 430, ""serves"": 2, ""diet"": ""Veg""}"
M063,menu_item,Stuffed Mushrooms Premium,Stuffed Mushrooms Premium is a veg starter costing ₹150. Serves 1. Popular among families.,Starter,"veg,starter","{""price"": 150, ""serves"": 1, ""diet"": ""Veg""}"
M064,menu_item,Gulab Jamun Classic,Gulab Jamun Classic is a veg dessert costing ₹440. Serves 1. Popular among families.,Dessert,"veg,dessert","{""price"": 440, ""serves"": 1, ""diet"": ""Veg""}"
M065,menu_item,Ice Cream Special,Ice Cream Special is a veg dessert costing ₹220. Serves 2. Popular among families.,Dessert,"veg,dessert","{""price"": 220, ""serves"": 2, ""diet"": ""Veg""}"
M066,menu_item,Dal Tadka Special,Dal Tadka Special is a veg main course costing ₹400. Serves 2. Popular among families.,Main Course,"veg,main course","{""price"": 400, ""serves"": 2, ""diet"": ""Veg""}"
M067,menu_item,Chicken Wings Spicy,Chicken Wings Spicy is a non-veg starter costing ₹260. Serves 1. Popular among families.,Starter,"non-veg,starter","{""price"": 260, ""serves"": 1, ""diet"": ""Non-Veg""}"
M068,menu_item,Fish Fingers Chef's,Fish Fingers Chef's is a non-veg starter costing ₹250. Serves 1. Popular among families.,Starter,"non-veg,starter","{""price"": 250, ""serves"": 1, ""diet"": ""Non-Veg""}"
M069,menu_item,Mango Shake Spicy,Mango Shake Spicy is a veg beverage costing ₹440. Serves 1. Popular among families.,Beverage,"veg,beverage","{""price"": 440, ""serves"": 1, ""diet"": ""Veg""}"
M070,menu_item,Chicken Wings Chef's,Chicken Wings Chef's is a non-veg starter costing ₹430. Serves 1. Popular among families.,Starter,"non-veg,starter","{""price"": 430, ""serves"": 1, ""diet"": ""Non-Veg""}"
M071,menu_item,Rasmalai Special,Rasmalai Special is a veg dessert costing ₹180. Serves 2. Popular among families.,Dessert,"veg,dessert","{""price"": 180, ""serves"": 2, ""diet"": ""Veg""}"
M072,menu_item,Veg Biryani Premium,Veg Biryani Premium is a veg main course costing ₹320. Serves 1. Popular among families.,Main Course,"veg,main course","{""price"": 320, ""serves"": 1, ""diet"": ""Veg""}"
M073,menu_item,Brownie Chef's,Brownie Chef's is a veg dessert costing ₹150. Serves 2. Popular among families.,Dessert,"veg,dessert","{""price"": 150, ""serves"": 2, ""diet"": ""Veg""}"
M074,menu_item,Mango Shake Chef's,Mango Shake Chef's is a veg beverage costing ₹240. Serves 1. Popular among families.,Beverage,"veg,beverage","{""price"": 240, ""serves"": 1, ""diet"": ""Veg""}"
M075,menu_item,Chicken Fried Rice Classic,Chicken Fried Rice Classic is a non-veg main course costing ₹200. Serves 2. Popular among families.,Main Course,"non-veg,main course","{""price"": 200, ""serves"": 2, ""diet"": ""Non-Veg""}"
M076,menu_item,Cold Coffee Premium,Cold Coffee Premium is a veg beverage costing ₹190. Serves 1. Popular among families.,Beverage,"veg,beverage","{""price"": 190, ""serves"": 1, ""diet"": ""Veg""}"
M077,menu_item,Lassi Spicy,Lassi Spicy is a veg beverage costing ₹230. Serves 1. Popular among families.,Beverage,"veg,beverage","{""price"": 230, ""serves"": 1, ""diet"": ""Veg""}"
