Date,Hour,Total_kWh,HVAC_kWh,Lighting_kWh,Kitchen_kWh,WashingMachine_kWh,WaterHeater_kWh,EVCharging_kWh,SolarGeneration_kWh,OutdoorTemp_C,Occupancy,PeakTariff,Cost_INR
2026-07-01,0,0.84,0.34,0.35,0.15,0.0,0.0,0.0,0.0,31.3,0,No,5.87
2026-07-01,1,0.76,0.26,0.35,0.15,0.0,0.0,0.0,0.0,28.6,0,No,5.31
2026-07-01,2,0.73,0.23,0.35,0.15,0.0,0.0,0.0,0.0,27.6,0,No,5.09
2026-07-01,3,0.7,0.2,0.35,0.15,0.0,0.0,0.0,0.0,25.9,0,No,4.9
2026-07-01,4,0.7,0.2,0.35,0.15,0.0,0.0,0.0,0.0,25.5,0,No,4.9
2026-07-01,5,0.7,0.2,0.35,0.15,0.0,0.0,0.0,0.0,24.1,0,No,4.9
2026-07-01,6,1.2,0.2,0.35,0.15,0.0,0.5,0.0,0.0,23.6,0,No,8.4
2026-07-01,7,1.15,0.4,0.1,0.15,0.0,0.5,0.0,0.98,21.4,1,No,8.05
2026-07-01,8,1.05,0.4,0.1,0.55,0.0,0.0,0.0,1.9,21.8,1,No,7.35
2026-07-01,9,0.65,0.4,0.1,0.15,0.0,0.0,0.0,2.69,21.3,1,No,4.55
2026-07-01,10,0.65,0.4,0.1,0.15,0.0,0.0,0.0,3.29,22.2,1,No,4.55
2026-07-01,11,0.65,0.4,0.1,0.15,0.0,0.0,0.0,3.67,23.8,1,No,4.55
2026-07-01,12,0.65,0.4,0.1,0.15,0.0,0.0,0.0,3.8,24.1,1,No,4.55
2026-07-01,13,1.05,0.4,0.1,0.55,0.0,0.0,0.0,3.67,25.8,1,No,7.35
2026-07-01,14,0.7,0.45,0.1,0.15,0.0,0.0,0.0,3.29,28.3,1,No,4.89
2026-07-01,15,0.74,0.49,0.1,0.15,0.0,0.0,0.0,2.69,29.6,1,No,5.17
2026-07-01,16,0.76,0.51,0.1,0.15,0.0,0.0,0.0,1.9,30.4,1,No,5.34
2026-07-01,17,0.82,0.57,0.1,0.15,0.0,0.0,0.0,0.98,32.4,1,No,5.76
2026-07-01,18,1.11,0.61,0.35,0.15,0.0,0.0,0.0,0.0,33.8,2,Yes,11.14
2026-07-01,19,1.08,0.58,0.35,0.15,0.0,0.0,0.0,0.0,32.8,2,Yes,10.84
2026-07-01,20,1.54,0.64,0.35,0.55,0.0,0.0,0.0,0.0,34.6,2,Yes,15.38
2026-07-01,21,1.63,0.63,0.35,0.15,0.0,0.5,0.0,0.0,34.2,2,Yes,16.26
2026-07-01,22,3.59,0.59,0.35,0.15,0.0,0.0,2.5,0.0,32.9,2,Yes,35.86
2026-07-01,23,3.35,0.35,0.35,0.15,0.0,0.0,2.5,0.0,31.6,0,No,23.43
2026-07-02,0,0.88,0.38,0.35,0.15,0.0,0.0,0.0,0.0,32.7,0,No,6.18
2026-07-02,1,0.8,0.3,0.35,0.15,0.0,0.0,0.0,0.0,30.1,0,No,5.61
2026-07-02,2,0.74,0.24,0.35,0.15,0.0,0.0,0.0,0.0,28.0,0,No,5.18
2026-07-02,3,0.7,0.2,0.35,0.15,0.0,0.0,0.0,0.0,26.5,0,No,4.9
2026-07-02,4,0.7,0.2,0.35,0.15,0.0,0.0,0.0,0.0,26.5,0,No,4.9
2026-07-02,5,0.7,0.2,0.35,0.15,0.0,0.0,0.0,0.0,24.8,0,No,4.9
2026-07-02,6,1.2,0.2,0.35,0.15,0.0,0.5,0.0,0.0,24.2,0,No,8.4
2026-07-02,7,1.15,0.4,0.1,0.15,0.0,0.5,0.0,0.98,23.5,1,No,8.05
2026-07-02,8,1.05,0.4,0.1,0.55,0.0,0.0,0.0,1.9,22.9,1,No,7.35
2026-07-02,9,0.65,0.4,0.1,0.15,0.0,0.0,0.0,2.69,24.0,1,No,4.55
2026-07-02,10,0.65,0.4,0.1,0.15,0.0,0.0,0.0,3.29,23.4,1,No,4.55
2026-07-02,11,0.65,0.4,0.1,0.15,0.0,0.0,0.0,3.67,24.7,1,No,4.55
2026-07-02,12,0.65,0.4,0.1,0.15,0.0,0.0,0.0,3.8,26.5,1,No,4.55
2026-07-02,13,1.08,0.43,0.1,0.55,0.0,0.0,0.0,3.67,27.5,1,No,7.53
2026-07-02,14,0.74,0.49,0.1,0.15,0.0,0.0,0.0,3.29,29.6,1,No,5.16
2026-07-02,15,0.77,0.52,0.1,0.15,0.0,0.0,0.0,2.69,30.5,1,No,5.36
2026-07-02,16,0.82,0.57,0.1,0.15,0.0,0.0,0.0,1.9,32.2,1,No,5.72
2026-07-02,17,0.81,0.56,0.1,0.15,0.0,0.0,0.0,0.98,32.2,1,No,5.7
2026-07-02,18,1.1,0.6,0.35,0.15,0.0,0.0,0.0,0.0,33.5,2,Yes,11.05
2026-07-02,19,1.13,0.63,0.35,0.15,0.0,0.0,0.0,0.0,34.2,2,Yes,11.26
2026-07-02,20,1.52,0.62,0.35,0.55,0.0,0.0,0.0,0.0,34.0,2,Yes,15.2
2026-07-02,21,1.62,0.62,0.35,0.15,0.0,0.5,0.0,0.0,34.1,2,Yes,16.23
2026-07-02,22,1.1,0.6,0.35,0.15,0.0,0.0,0.0,0.0,33.2,2,Yes,10.97
2026-07-02,23,0.88,0.38,0.35,0.15,0.0,0.0,0.0,0.0,32.6,0,No,6.15
2026-07-03,0,0.89,0.39,0.35,0.15,0.0,0.0,0.0,0.0,32.9,0,No,6.21
2026-07-03,1,0.83,0.33,0.35,0.15,0.0,0.0,0.0,0.0,30.9,0,No,5.79
2026-07-03,2,0.78,0.28,0.35,0.15,0.0,0.0,0.0,0.0,29.4,0,No,5.47
2026-07-03,3,0.72,0.22,0.35,0.15,0.0,0.0,0.0,0.0,27.5,0,No,5.07
2026-07-03,4,0.7,0.2,0.35,0.15,0.0,0.0,0.0,0.0,26.2,0,No,4.9
2026-07-03,5,0.7,0.2,0.35,0.15,0.0,0.0,0.0,0.0,26.3,0,No,4.9
2026-07-03,6,1.2,0.2,0.35,0.15,0.0,0.5,0.0,0.0,24.7,0,No,8.4
2026-07-03,7,1.15,0.4,0.1,0.15,0.0,0.5,0.0,0.98,24.0,1,No,8.05
2026-07-03,8,1.05,0.4,0.1,0.55,0.0,0.0,0.0,1.9,23.0,1,No,7.35
2026-07-03,9,0.65,0.4,0.1,0.15,0.0,0.0,0.0,2.69,24.3,1,No,4.55
2026-07-03,10,0.65,0.4,0.1,0.15,0.0,0.0,0.0,3.29,23.8,1,No,4.55
2026-07-03,11,0.65,0.4,0.1,0.15,0.0,0.0,0.0,3.67,25.1,1,No,4.55
2026-07-03,12,0.68,0.43,0.1,0.15,0.0,0.0,0.0,3.8,27.6,1,No,4.75
2026-07-03,13,1.1,0.45,0.1,0.55,0.0,0.0,0.0,3.67,28.4,1,No,7.7
2026-07-03,14,0.74,0.49,0.1,0.15,0.0,0.0,0.0,3.29,29.7,1,No,5.2
2026-07-03,15,0.8,0.55,0.1,0.15,0.0,0.0,0.0,2.69,31.5,1,No,5.58
2026-07-03,16,0.85,0.6,0.1,0.15,0.0,0.0,0.0,1.9,33.3,1,No,5.95
2026-07-03,17,0.88,0.63,0.1,0.15,0.0,0.0,0.0,0.98,34.4,1,No,6.18
2026-07-03,18,1.13,0.63,0.35,0.15,0.0,0.0,0.0,0.0,34.3,2,Yes,11.28
2026-07-03,19,1.93,0.63,0.35,0.15,0.8,0.0,0.0,0.0,34.5,2,Yes,19.35
2026-07-03,20,1.56,0.66,0.35,0.55,0.0,0.0,0.0,0.0,35.3,2,Yes,15.58
2026-07-03,21,1.65,0.65,0.35,0.15,0.0,0.5,0.0,0.0,35.0,2,Yes,16.49
2026-07-03,22,1.13,0.63,0.35,0.15,0.0,0.0,0.0,0.0,34.2,2,Yes,11.27
2026-07-03,23,0.94,0.44,0.35,0.15,0.0,0.0,0.0,0.0,34.8,0,No,6.6
2026-07-04,0,0.92,0.42,0.35,0.15,0.0,0.0,0.0,0.0,34.1,0,No,6.46
2026-07-04,1,0.85,0.35,0.35,0.15,0.0,0.0,0.0,0.0,31.5,0,No,5.92
2026-07-04,2,0.82,0.32,0.35,0.15,0.0,0.0,0.0,0.0,30.7,0,No,5.74
2026-07-04,3,0.76,0.26,0.35,0.15,0.0,0.0,0.0,0.0,28.6,0,No,5.3
2026-07-04,4,0.75,0.25,0.35,0.15,0.0,0.0,0.0,0.0,28.2,0,No,5.22
2026-07-04,5,0.7,0.2,0.35,0.15,0.0,0.0,0.0,0.0,26.0,0,No,4.9
2026-07-04,6,1.2,0.2,0.35,0.15,0.0,0.5,0.0,0.0,24.7,0,No,8.4
2026-07-04,7,1.15,0.4,0.1,0.15,0.0,0.5,0.0,0.98,24.0,1,No,8.05
2026-07-04,8,1.05,0.4,0.1,0.55,0.0,0.0,0.0,1.9,24.5,4,No,7.35
2026-07-04,9,0.65,0.4,0.1,0.15,0.0,0.0,0.0,2.69,24.1,4,No,4.55
2026-07-04,10,0.65,0.4,0.1,0.15,0.0,0.0,0.0,3.29,25.3,4,No,4.55
2026-07-04,11,1.46,0.41,0.1,0.15,0.8,0.0,0.0,3.67,26.9,4,No,10.2
2026-07-04,12,0.66,0.41,0.1,0.15,0.0,0.0,0.0,3.8,27.1,4,No,4.65
2026-07-04,13,1.1,0.45,0.1,0.55,0.0,0.0,0.0,3.67,28.2,4,No,7.68
2026-07-04,14,0.79,0.54,0.1,0.15,0.0,0.0,0.0,3.29,31.3,4,No,5.53
2026-07-04,15,0.81,0.56,0.1,0.15,0.0,0.0,0.0,2.69,31.9,4,No,5.65
2026-07-04,16,0.83,0.58,0.1,0.15,0.0,0.0,0.0,1.9,32.5,4,No,5.78
2026-07-04,17,0.86,0.61,0.1,0.15,0.0,0.0,0.0,0.98,33.7,4,No,6.02
2026-07-04,18,1.14,0.64,0.35,0.15,0.0,0.0,0.0,0.0,34.8,4,Yes,11.43
2026-07-04,19,1.19,0.69,0.35,0.15,0.0,0.0,0.0,0.0,36.4,4,Yes,11.92
2026-07-04,20,1.61,0.71,0.35,0.55,0.0,0.0,0.0,0.0,36.9,4,Yes,16.08
2026-07-04,21,1.68,0.68,0.35,0.15,0.0,0.5,0.0,0.0,36.0,4,Yes,16.8
2026-07-04,22,3.64,0.64,0.35,0.15,0.0,0.0,2.5,0.0,34.7,4,Yes,36.4
2026-07-04,23,3.43,0.43,0.35,0.15,0.0,0.0,2.5,0.0,34.4,0,No,24.01
2026-07-05,0,0.95,0.45,0.35,0.15,0.0,0.0,0.0,0.0,35.0,0,No,6.64
2026-07-05,1,0.88,0.38,0.35,0.15,0.0,0.0,0.0,0.0,32.6,0,No,6.14
2026-07-05,2,0.86,0.36,0.35,0.15,0.0,0.0,0.0,0.0,31.9,0,No,6.0
2026-07-05,3,0.8,0.3,0.35,0.15,0.0,0.0,0.0,0.0,30.1,0,No,5.63
2026-07-05,4,0.71,0.21,0.35,0.15,0.0,0.0,0.0,0.0,27.0,0,No,4.97
2026-07-05,5,0.72,0.22,0.35,0.15,0.0,0.0,0.0,0.0,27.2,0,No,5.01
2026-07-05,6,1.2,0.2,0.35,0.15,0.0,0.5,0.0,0.0,26.1,0,No,8.4
2026-07-05,7,1.15,0.4,0.1,0.15,0.0,0.5,0.0,0.98,25.3,1,No,8.05
2026-07-05,8,1.05,0.4,0.1,0.55,0.0,0.0,0.0,1.9,24.5,4,No,7.35
2026-07-05,9,0.65,0.4,0.1,0.15,0.0,0.0,0.0,2.69,25.5,4,No,4.55
2026-07-05,10,0.65,0.4,0.1,0.15,0.0,0.0,0.0,3.29,25.0,4,No,4.55
2026-07-05,11,1.45,0.4,0.1,0.15,0.8,0.0,0.0,3.67,26.6,4,No,10.15
2026-07-05,12,0.69,0.44,0.1,0.15,0.0,0.0,0.0,3.8,27.9,4,No,4.8
2026-07-05,13,1.16,0.51,0.1,0.55,0.0,0.0,0.0,3.67,30.3,4,No,8.12
2026-07-05,14,0.8,0.55,0.1,0.15,0.0,0.0,0.0,3.29,31.7,4,No,5.61
2026-07-05,15,0.81,0.56,0.1,0.15,0.0,0.0,0.0,2.69,32.1,4,No,5.68
2026-07-05,16,0.87,0.62,0.1,0.15,0.0,0.0,0.0,1.9,34.0,4,No,6.08
2026-07-05,17,0.89,0.64,0.1,0.15,0.0,0.0,0.0,0.98,34.6,4,No,6.21
2026-07-05,18,1.21,0.71,0.35,0.15,0.0,0.0,0.0,0.0,37.0,4,Yes,12.1
2026-07-05,19,1.23,0.73,0.35,0.15,0.0,0.0,0.0,0.0,37.5,4,Yes,12.25
2026-07-05,20,1.6,0.7,0.35,0.55,0.0,0.0,0.0,0.0,36.6,4,Yes,15.97
2026-07-05,21,1.71,0.71,0.35,0.15,0.0,0.5,0.0,0.0,37.0,4,Yes,17.11
2026-07-05,22,1.19,0.69,0.35,0.15,0.0,0.0,0.0,0.0,36.4,4,Yes,11.92
2026-07-05,23,0.94,0.44,0.35,0.15,0.0,0.0,0.0,0.0,34.5,0,No,6.55
2026-07-06,0,0.95,0.45,0.35,0.15,0.0,0.0,0.0,0.0,35.0,0,No,6.65
2026-07-06,1,0.89,0.39,0.35,0.15,0.0,0.0,0.0,0.0,33.1,0,No,6.25
2026-07-06,2,0.86,0.36,0.35,0.15,0.0,0.0,0.0,0.0,32.0,0,No,6.02
2026-07-06,3,0.8,0.3,0.35,0.15,0.0,0.0,0.0,0.0,30.0,0,No,5.59
2026-07-06,4,0.72,0.22,0.35,0.15,0.0,0.0,0.0,0.0,27.5,0,No,5.07
2026-07-06,5,0.71,0.21,0.35,0.15,0.0,0.0,0.0,0.0,26.9,0,No,4.94
2026-07-06,6,1.2,0.2,0.35,0.15,0.0,0.5,0.0,0.0,25.3,0,No,8.4
2026-07-06,7,1.15,0.4,0.1,0.15,0.0,0.5,0.0,0.98,26.5,1,No,8.05
2026-07-06,8,1.05,0.4,0.1,0.55,0.0,0.0,0.0,1.9,26.2,1,No,7.35
2026-07-06,9,0.65,0.4,0.1,0.15,0.0,0.0,0.0,2.69,26.3,1,No,4.55
2026-07-06,10,0.65,0.4,0.1,0.15,0.0,0.0,0.0,3.29,25.9,1,No,4.55
2026-07-06,11,0.65,0.4,0.1,0.15,0.0,0.0,0.0,3.67,26.3,1,No,4.55
2026-07-06,12,0.73,0.48,0.1,0.15,0.0,0.0,0.0,3.8,29.2,1,No,5.09
2026-07-06,13,1.17,0.52,0.1,0.55,0.0,0.0,0.0,3.67,30.8,1,No,8.22
2026-07-06,14,0.77,0.52,0.1,0.15,0.0,0.0,0.0,3.29,30.6,1,No,5.38
2026-07-06,15,0.84,0.59,0.1,0.15,0.0,0.0,0.0,2.69,33.0,1,No,5.88
2026-07-06,16,0.86,0.61,0.1,0.15,0.0,0.0,0.0,1.9,33.6,1,No,6.01
2026-07-06,17,0.94,0.69,0.1,0.15,0.0,0.0,0.0,0.98,36.2,1,No,6.56
2026-07-06,18,1.22,0.72,0.35,0.15,0.0,0.0,0.0,0.0,37.2,2,Yes,12.16
2026-07-06,19,1.2,0.7,0.35,0.15,0.0,0.0,0.0,0.0,36.5,2,Yes,11.95
2026-07-06,20,1.62,0.72,0.35,0.55,0.0,0.0,0.0,0.0,37.4,2,Yes,16.22
2026-07-06,21,1.72,0.72,0.35,0.15,0.0,0.5,0.0,0.0,37.4,2,Yes,17.21
2026-07-06,22,1.19,0.69,0.35,0.15,0.0,0.0,0.0,0.0,36.2,2,Yes,11.86
2026-07-06,23,0.99,0.49,0.35,0.15,0.0,0.0,0.0,0.0,36.5,0,No,6.95
2026-07-07,0,0.94,0.44,0.35,0.15,0.0,0.0,0.0,0.0,34.7,0,No,6.58
2026-07-07,1,0.88,0.38,0.35,0.15,0.0,0.0,0.0,0.0,32.8,0,No,6.18
2026-07-07,2,0.86,0.36,0.35,0.15,0.0,0.0,0.0,0.0,31.9,0,No,6.0
2026-07-07,3,0.82,0.32,0.35,0.15,0.0,0.0,0.0,0.0,30.7,0,No,5.75
2026-07-07,4,0.75,0.25,0.35,0.15,0.0,0.0,0.0,0.0,28.2,0,No,5.22
2026-07-07,5,0.72,0.22,0.35,0.15,0.0,0.0,0.0,0.0,27.2,0,No,5.01
